STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,TOBS
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,2/22/2014,,,,0.21,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,2/24/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,2/27/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,2/28/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/1/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/2/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/3/2014,,,,0.15,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/10/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/11/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/12/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/13/2014,,,,0.08,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/14/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/15/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/16/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/17/2014,,,,0.38,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/18/2014,,,,0.06,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/19/2014,,,,0.06,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/20/2014,,,,0.02,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/21/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/24/2014,,,,0.19,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/26/2014,,,,0.27,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/27/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,3/28/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,4/2/2014,,,,0,,,,
